,id,level,display_name,works_count,llm_annotation,multiple_level_0_ancestors
43,C122637931,2,Unit (ring theory),140494,Mathematics,Mathematics
44,C162118730,1,Actuarial science,137895,Mathematics,"Business,Economics"
45,C36503486,2,Domain (mathematical analysis),137285,Mathematics,Mathematics
46,C50382708,2,Proportional hazards model,128505,Mathematics,"Mathematics,Medicine"
47,C62354387,2,Boundary (topology),125911,Mathematics,Mathematics
48,C74050887,2,Rotation (mathematics),122441,Mathematics,"Computer science,Mathematics"
49,C2780897414,2,Star (game theory),119174,Mathematics,"Mathematics,Physics"
50,C28719098,2,Point (geometry),116695,Mathematics,Mathematics
51,C152877465,2,Regression analysis,110489,Mathematics,"Computer science,Mathematics"
52,C137836250,2,Optimization problem,108539,Mathematics,"Computer science,Mathematics"
53,C42058472,2,Base (topology),107117,Mathematics,Mathematics
54,C98147612,3,Promotion (chess),102606,Mathematics,Political science
55,C94375191,1,Arithmetic,96456,Mathematics,Mathematics
56,C2778152352,2,Content (measure theory),94210,Mathematics,Mathematics
57,C34388435,2,Bounded function,86124,Mathematics,Mathematics
58,C158693339,2,Eigenvalues and eigenvectors,83922,Mathematics,"Mathematics,Physics"
59,C182365436,2,Variable (mathematics),83791,Mathematics,Mathematics
60,C156778621,2,Spectrum (functional analysis),83244,Mathematics,"Mathematics,Physics"
61,C103278499,3,Similarity (geometry),83061,Mathematics,"Computer science,Mathematics"
62,C19499675,2,Monte Carlo method,83017,Mathematics,Mathematics
63,C33676613,2,Dimension (graph theory),81939,Mathematics,Mathematics
64,C73000952,2,Discretization,81510,Mathematics,"Engineering,Mathematics"
65,C107673813,2,Bayesian probability,80658,Mathematics,"Computer science,Mathematics"
66,C182310444,2,Boundary value problem,79268,Mathematics,"Mathematics,Physics"
67,C2779886137,2,Symmetry (geometry),78519,Mathematics,Mathematics
68,C2780861071,2,Character (mathematics),76661,Mathematics,Mathematics
69,C105341887,3,Suspension (topology),76116,Mathematics,Mathematics
70,C80899671,3,Vertex (graph theory),75473,Mathematics,"Computer science,Mathematics"
71,C151406439,2,Time series,74223,Mathematics,"Computer science,Mathematics"
72,C48921125,2,Linear regression,73097,Mathematics,"Computer science,Mathematics"
73,C165064840,2,Matching (statistics),70847,Mathematics,"Mathematics,Medicine"
74,C83546350,2,Regression,70554,Mathematics,"Mathematics,Psychology"
75,C60640748,3,Lyapunov function,70076,Mathematics,"Engineering,Mathematics,Physics"
76,C74193536,2,Kernel (algebra),69187,Mathematics,Mathematics
77,C128489963,2,Filtration (mathematics),69078,Mathematics,Mathematics
78,C10515644,2,Survival analysis,68249,Mathematics,"Mathematics,Medicine"
79,C42011625,3,Fuzzy set,67551,Mathematics,"Computer science,Philosophy"
80,C176217482,2,Metric (unit),67358,Mathematics,"Business,Economics,Engineering"
81,C78045399,2,Differential equation,65374,Mathematics,"Mathematics,Physics"
82,C91575142,2,Optimal control,63553,Mathematics,"Engineering,Mathematics"
83,C60798267,2,Division (mathematics),63118,Mathematics,Mathematics
84,C49937458,2,Probabilistic logic,63004,Mathematics,"Computer science,Mathematics,Philosophy"
85,C184670325,2,Loop (graph theory),62990,Mathematics,Mathematics
86,C203311528,2,Cylinder,62930,Mathematics,"Engineering,Mathematics"
87,C99844830,2,Scaling,62278,Mathematics,Mathematics
88,C2777052490,2,Chaotic,61644,Mathematics,"Computer science,Economics"
89,C207467116,2,Inverse,61469,Mathematics,"Mathematics,Philosophy"
90,C2778067643,2,Interval (graph theory),61203,Mathematics,Mathematics
91,C2778029271,2,Extension (predicate logic),60760,Mathematics,"Computer science,Mathematics"
92,C117251300,2,Parametric statistics,60690,Mathematics,Mathematics
93,C13355873,2,Connection (principal bundle),60591,Mathematics,"Engineering,Mathematics"
94,C6802819,2,Linear system,60081,Mathematics,"Engineering,Mathematics"
95,C2778753846,2,Link (geometry),60076,Mathematics,"Computer science,Mathematics"
96,C160234255,3,Bayesian inference,59370,Mathematics,"Computer science,Mathematics"
97,C164226766,2,Rank (graph theory),57152,Mathematics,Mathematics
98,C46286280,4,Discrete wavelet transform,57083,Mathematics,Computer science
99,C2781089630,2,Realization (probability),56595,Mathematics,Mathematics
100,C17825722,2,Plane (geometry),55440,Mathematics,Mathematics
101,C6350597,2,Altitude (triangle),55098,Mathematics,Mathematics
102,C151201525,2,Limit (mathematics),54620,Mathematics,Mathematics
103,C98763669,2,Markov chain,54244,Mathematics,"Computer science,Mathematics"
104,C2781009140,2,Persistence (discontinuity),54052,Mathematics,"Engineering,Geology"
105,C135252773,2,Inverse problem,53884,Mathematics,Mathematics
106,C10349863,3,Linear range,53813,Mathematics,"Chemistry,Mathematics"
107,C196216189,3,Wavelet transform,53715,Mathematics,Computer science
108,C112680207,2,Regular polygon,53648,Mathematics,Mathematics
109,C129848803,2,Sample size determination,53097,Mathematics,Mathematics
110,C87007009,2,Statistical hypothesis testing,52739,Mathematics,Mathematics
111,C57869625,3,Rate of convergence,52291,Mathematics,Computer science
112,C8272713,2,Stochastic process,52250,Mathematics,Mathematics
113,C2780030769,2,Plateau (mathematics),51949,Mathematics,Mathematics
114,C155512373,2,Residual,51672,Mathematics,"Computer science,Mathematics"
115,C35651441,2,Independence (probability theory),51276,Mathematics,Mathematics
116,C2776061190,2,Separation (statistics),51067,Mathematics,"Computer science,Mathematics"
117,C102519508,2,Fourier transform,50475,Mathematics,"Mathematics,Physics"
118,C119043178,2,Covariate,50131,Mathematics,"Computer science,Economics,Mathematics"
119,C47432892,2,Wavelet,49921,Mathematics,Computer science
120,C122041747,2,Ball (mathematics),49825,Mathematics,Mathematics
121,C83415579,2,Arc (geometry),49303,Mathematics,"Engineering,Mathematics"
122,C161584116,2,Multivariate statistics,48969,Mathematics,"Computer science,Mathematics"
123,C197336794,2,Conjugate,46653,Mathematics,Mathematics
124,C93779851,2,Partial differential equation,46398,Mathematics,"Mathematics,Physics"
125,C163716315,2,Gaussian,46391,Mathematics,"Chemistry,Physics"
126,C90119067,2,Polynomial,46190,Mathematics,Mathematics
127,C98184364,2,Argument (complex analysis),45993,Mathematics,"Biology,Chemistry,Medicine"
128,C27438332,2,Principal component analysis,45865,Mathematics,"Computer science,Mathematics"
129,C135692309,2,Square (algebra),43225,Mathematics,Mathematics
130,C104709138,3,Intraclass correlation,43218,Mathematics,"Mathematics,Psychology"
131,C144938864,2,Randomized block design,42942,Mathematics,"Biology,Mathematics"
132,C153083717,2,Leverage (statistics),42330,Mathematics,"Computer science,Mathematics"
133,C155777637,4,Wavelet packet decomposition,41865,Mathematics,Computer science
134,C134786449,2,Planar,41016,Mathematics,Computer science
135,C41045048,2,Linear programming,40862,Mathematics,"Computer science,Mathematics"
136,C38180746,2,Multivariate analysis,40504,Mathematics,"Computer science,Mathematics,Medicine"
137,C68781425,2,Multi-objective optimization,40084,Mathematics,"Computer science,Mathematics"
138,C139676723,2,Sign (mathematics),39878,Mathematics,Mathematics
139,C195065555,2,Curvature,39493,Mathematics,Mathematics
140,C9376300,2,Algebraic number,38946,Mathematics,Mathematics
141,C2780990831,2,Conjecture,38904,Mathematics,Mathematics
142,C12590798,2,Replication (statistics),38890,Mathematics,"Biology,Mathematics,Medicine"
143,C155281189,2,Tensor (intrinsic definition),38795,Mathematics,Mathematics
144,C150077022,2,Response surface methodology,38576,Mathematics,"Chemistry,Computer science,Mathematics"
145,C167928553,2,Estimation theory,37551,Mathematics,"Computer science,Mathematics"
146,C9930424,2,Saturation (graph theory),37522,Mathematics,Mathematics
147,C167964875,3,Exponential stability,37516,Mathematics,"Engineering,Mathematics,Physics"
148,C198819137,3,Octahedron,37109,Mathematics,"Chemistry,Physics"
149,C79379906,2,Dynamical systems theory,36732,Mathematics,"Engineering,Mathematics,Physics"
150,C131770355,2,Harmonic analysis,36097,Mathematics,"Engineering,Mathematics"
151,C159886148,2,Markov process,35929,Mathematics,Mathematics
152,C102366305,2,Nonparametric statistics,35027,Mathematics,"Economics,Mathematics"
153,C39896193,2,Descriptive statistics,34988,Mathematics,Mathematics
154,C197957613,3,Cofactor,34230,Mathematics,"Biology,Chemistry,Physics"
155,C64452783,2,Ternary operation,33773,Mathematics,"Computer science,Mathematics"
156,C77553402,2,Upper and lower bounds,33768,Mathematics,Mathematics
157,C177769412,3,Prior probability,32515,Mathematics,"Computer science,Mathematics"
158,C37649242,2,System of measurement,32387,Mathematics,Physics
159,C2779696439,2,Signature (topology),30882,Mathematics,Mathematics
160,C199068039,2,Immersion (mathematics),30563,Mathematics,Mathematics
161,C34947359,2,Complex network,30187,Mathematics,"Computer science,Mathematics"
162,C1883856,4,Fuzzy number,29622,Mathematics,"Computer science,Philosophy"
163,C38976095,2,Asymmetry,29578,Mathematics,Physics
164,C2781349735,3,Bifurcation,29071,Mathematics,"Engineering,Mathematics,Physics"
165,C122123141,2,Random variable,28821,Mathematics,Mathematics
166,C129844170,2,Quadratic equation,28715,Mathematics,Mathematics
167,C96469262,2,Homogeneous space,28564,Mathematics,Mathematics
168,C151376022,2,Exponential function,28437,Mathematics,Mathematics
169,C26546657,3,Fractal dimension,28156,Mathematics,Mathematics
170,C2778312390,2,Growth rate,28080,Mathematics,Mathematics
171,C40636538,2,Fractal,28072,Mathematics,Mathematics
172,C9936470,3,Least-squares function approximation,28018,Mathematics,Undefined
173,C57691317,2,Scalar (mathematics),27875,Mathematics,Mathematics
174,C55689738,2,Discrete time and continuous time,27461,Mathematics,"Engineering,Mathematics"
175,C2778023678,2,Duality (order theory),27363,Mathematics,Mathematics
176,C197115733,2,Forcing (mathematics),27323,Mathematics,"Geology,Mathematics,Physics"
177,C124066611,2,Sparse approximation,27275,Mathematics,"Computer science,Mathematics"
178,C159877910,2,Autoregressive model,26740,Mathematics,"Economics,Mathematics"
179,C12426560,2,Basis (linear algebra),26733,Mathematics,Mathematics
180,C124851039,2,Compressed sensing,26639,Mathematics,"Computer science,Mathematics"
181,C193867417,2,Modulus,26539,Mathematics,"Materials science,Mathematics"
182,C22684755,2,Queueing theory,26523,Mathematics,"Computer science,Mathematics"
183,C134400042,2,Symbol (formal),26488,Mathematics,"Computer science,Philosophy"
184,C51544822,3,Ordinary differential equation,26428,Mathematics,"Mathematics,Physics"
185,C65778772,3,Asymptotic distribution,26243,Mathematics,Mathematics
186,C46254838,2,Completely randomized design,25802,Mathematics,"Biology,Mathematics"
187,C159694833,2,Iterative method,25731,Mathematics,"Computer science,Mathematics"
188,C144745244,2,Blocking (statistics),25343,Mathematics,"Computer science,Mathematics"
189,C22354355,2,Partial least squares regression,24986,Mathematics,"Chemistry,Computer science,Mathematics"
190,C27574286,2,Variables,24858,Mathematics,"Computer science,Mathematics"
191,C14166107,2,Net (polyhedron),24709,Mathematics,Mathematics
192,C154249771,2,Fractional calculus,24677,Mathematics,"Mathematics,Physics"
193,C177803969,2,Uncertainty analysis,24430,Mathematics,"Computer science,Engineering,Mathematics"
194,C24338571,3,Autoregressive integrated moving average,24334,Mathematics,"Computer science,Mathematics"
195,C132954091,2,Banach space,24010,Mathematics,Mathematics
196,C42812,2,Partition (number theory),23892,Mathematics,Mathematics
197,C51955184,2,Stochastic differential equation,23862,Mathematics,"Mathematics,Physics"
198,C51568863,2,Lie algebra,23833,Mathematics,"Mathematics,Physics"
199,C22171661,2,Stochastic game,23623,Mathematics,"Economics,Mathematics"
200,C4199805,2,Gaussian noise,23458,Mathematics,"Computer science,Mathematics"
201,C57830394,3,Posterior probability,23347,Mathematics,"Computer science,Mathematics"
202,C66882249,2,Homogeneous,23156,Mathematics,"Mathematics,Physics"
203,C76318530,2,Area under the curve,22966,Mathematics,"Biology,Medicine"
204,C111350023,3,Markov chain Monte Carlo,22883,Mathematics,"Computer science,Mathematics"
205,C61445026,2,Fixed point,22866,Mathematics,Mathematics
206,C207201462,3,Bayes' theorem,22810,Mathematics,"Computer science,Mathematics"
207,C100906024,2,Poisson distribution,22589,Mathematics,Mathematics
208,C137270730,3,Detection theory,22513,Mathematics,"Computer science,Engineering"
209,C61326573,3,Gaussian process,22435,Mathematics,"Chemistry,Physics"
210,C149441793,2,Probability distribution,22419,Mathematics,Mathematics
211,C69738355,2,Linear discriminant analysis,22091,Mathematics,"Computer science,Mathematics"
212,C190812933,2,Chart,22053,Mathematics,Mathematics
213,C145446738,3,Convex function,21999,Mathematics,Mathematics
214,C75172450,2,Fast Fourier transform,21984,Mathematics,"Computer science,Mathematics"
215,C2221639,3,Discrete cosine transform,21969,Mathematics,"Computer science,Mathematics"
216,C139945424,2,Mean squared error,21798,Mathematics,Mathematics
217,C13982400,3,Linear differential equation,21782,Mathematics,"Engineering,Mathematics,Physics"
218,C32230216,2,Uncertainty quantification,21720,Mathematics,"Computer science,Mathematics"
219,C14103023,3,Pairing,21627,Mathematics,Physics
220,C19619285,2,Observational error,21612,Mathematics,"Economics,Mathematics"
221,C121194460,2,Random walk,21488,Mathematics,Mathematics
222,C7218915,3,Gaussian function,21449,Mathematics,"Chemistry,Physics"
223,C81692654,2,Kriging,21305,Mathematics,"Computer science,Mathematics"
224,C191544260,3,Lyapunov exponent,21276,Mathematics,"Computer science,Economics,Engineering,Mathematics,Physics"
225,C10628310,2,Orthogonal polynomials,21214,Mathematics,Mathematics
226,C114289077,2,Statistical model,21112,Mathematics,"Computer science,Mathematics"
227,C2987642246,2,First order,21096,Mathematics,Mathematics
228,C85031952,3,Normality test,21024,Mathematics,"Mathematics,Medicine,Political science,Sociology"
229,C200741047,2,Integrable system,20910,Mathematics,"Mathematics,Physics"
230,C184992742,2,Prime (order theory),20730,Mathematics,Mathematics
231,C45962547,2,Fixed-point theorem,20661,Mathematics,Mathematics
232,C109792285,2,Millimeter,20649,Mathematics,Physics
233,C42355184,3,Matrix decomposition,20547,Mathematics,"Mathematics,Physics"
234,C202799725,2,Accuracy and precision,20534,Mathematics,"Mathematics,Physics"
235,C108710211,2,Mathematical proof,20484,Mathematics,Mathematics
236,C98214594,2,Conformal map,20358,Mathematics,Mathematics
237,C144301174,3,Univariate analysis,20264,Mathematics,"Computer science,Mathematics,Medicine"
238,C205203396,2,Bilinear interpolation,20197,Mathematics,"Computer science,Mathematics"
239,C196298200,2,Critical point (mathematics),20164,Mathematics,Mathematics
240,C148671577,4,Fuzzy set operations,20045,Mathematics,"Computer science,Engineering,Mathematics,Philosophy"
241,C127491075,2,Stochastic modelling,19227,Mathematics,"Business,Economics,Mathematics"
242,C9679016,2,Principle of maximum entropy,19217,Mathematics,"Computer science,Mathematics"
243,C164380108,2,Attractor,18918,Mathematics,"Engineering,Mathematics"
244,C179603306,2,Elliptic curve,18559,Mathematics,Mathematics
245,C157972887,3,Convex optimization,18552,Mathematics,Mathematics
246,C101112237,4,Bayesian statistics,18479,Mathematics,"Computer science,Mathematics"
247,C163836022,3,Markov model,18457,Mathematics,"Computer science,Mathematics"
248,C43929395,2,Operator theory,18356,Mathematics,Mathematics
249,C92571104,3,Singular integral,18270,Mathematics,Mathematics
250,C121332964,0,Physics,5470315,Physics,Physics
251,C57879066,1,Mechanics,1376608,Physics,Physics
252,C18762648,2,Work (physics),1063474,Physics,"Engineering,Physics"
253,C120665830,1,Optics,1022784,Physics,Physics
254,C163258240,2,Power (physics),984277,Physics,Physics
255,C24890656,1,Acoustics,831253,Physics,Physics
256,C26873012,1,Condensed matter physics,753112,Physics,Physics
257,C8010536,1,Crystallography,598980,Physics,Chemistry
258,C20556612,2,Volume (thermodynamics),571443,Physics,Physics
259,C44280652,2,Phase (matter),545906,Physics,"Chemistry,Physics"
260,C184779094,1,Atomic physics,541914,Physics,Physics
261,C165801399,2,Voltage,507687,Physics,"Engineering,Physics"
262,C121864883,1,Statistical physics,442746,Physics,Physics
263,C37914503,1,Mathematical physics,426983,Physics,"Mathematics,Physics"
264,C520434653,2,Laser,423639,Physics,Physics
265,C41999313,1,Molecular physics,403069,Physics,"Chemistry,Physics"
266,C97355855,1,Thermodynamics,400776,Physics,Physics
267,C147120987,2,Electron,373793,Physics,Physics
268,C148043351,2,Current (fluid),372652,Physics,"Engineering,Geology,Physics"
269,C4839761,2,Spectral line,370460,Physics,Physics
270,C44870925,1,Astrophysics,362160,Physics,Physics
271,C115260700,2,Magnetic field,347991,Physics,Physics
272,C204530211,2,Thermal,341071,Physics,"Geography,Physics"
273,C159467904,1,Chemical physics,337095,Physics,"Chemistry,Physics"
274,C2780791683,2,Action (physics),331777,Physics,Physics
275,C19527891,1,Medical physics,330945,Physics,"Medicine,Physics"
276,C1276947,1,Astronomy,321114,Physics,Physics
277,C82706917,2,Plasma,302297,Physics,Physics
278,C84114770,2,Quantum,299955,Physics,Physics
279,C33332235,1,Theoretical physics,294307,Physics,Physics
280,C125287762,2,Absorption (acoustics),292103,Physics,"Materials science,Physics"
281,C69357855,2,Diffusion,283878,Physics,Physics
282,C30475298,1,Computational physics,281005,Physics,Physics
283,C185544564,1,Nuclear physics,262696,Physics,Physics
284,C198394728,2,Vibration,253677,Physics,Physics
285,C153385146,2,Radiation,239413,Physics,Physics
286,C152365726,2,Density functional theory,237488,Physics,"Chemistry,Physics"
287,C32891209,2,Spectroscopy,232883,Physics,Physics
288,C62520636,1,Quantum mechanics,215440,Physics,Physics
289,C74650414,1,Classical mechanics,213467,Physics,Physics
290,C32546565,3,Magnetization,210064,Physics,Physics
291,C65440619,2,Atmosphere (unit),209408,Physics,"Geography,Physics"
292,C104114177,2,Motion (physics),205785,Physics,"Computer science,Physics"
293,C191486275,2,Scattering,193972,Physics,Physics
294,C50517652,2,Heat transfer,193840,Physics,Physics
295,C94915269,2,Detector,192768,Physics,"Computer science,Engineering,Physics"
296,C150846664,2,Stars,192626,Physics,"Computer science,Physics"
297,C111337013,2,Irradiation,192383,Physics,Physics
298,C40003534,2,Raman spectroscopy,190013,Physics,"Chemistry,Physics"
299,C148898269,2,Kinetics,187600,Physics,Physics
300,C91881484,2,Fluorescence,182913,Physics,Physics
301,C133386390,2,Dielectric,182828,Physics,"Engineering,Materials science,Physics"
302,C85080765,2,Photoluminescence,180593,Physics,"Chemistry,Materials science,Physics"
303,C149288129,2,Phase transition,180295,Physics,Physics
304,C196558001,2,Turbulence,178797,Physics,"Geography,Physics"
305,C175708663,2,X-ray photoelectron spectroscopy,170521,Physics,"Chemistry,Engineering,Physics"
306,C2779328170,2,X-ray,169572,Physics,Physics
307,C139210041,2,Resonance (particle physics),166168,Physics,Physics
308,C109214941,1,Particle physics,161687,Physics,Physics
309,C181966813,2,Band gap,161620,Physics,"Materials science,Physics"
310,C158355884,2,Infrared,160951,Physics,Physics
311,C82217956,2,Ferromagnetism,160012,Physics,Physics
312,C46141821,1,Nuclear magnetic resonance,158685,Physics,Physics
313,C98444146,2,Galaxy,155278,Physics,Physics
314,C60799052,2,Electric field,151431,Physics,Physics
315,C2777977315,2,Primary (astronomy),148923,Physics,Physics
316,C2778334786,2,Variation (astronomy),147309,Physics,Physics
317,C200941418,2,Inflation (cosmology),144205,Physics,Physics
318,C206658404,2,Electricity,143088,Physics,"Engineering,Physics"
319,C97346530,2,Thermal conductivity,142755,Physics,"Materials science,Physics"
320,C59593255,2,Molecular dynamics,140897,Physics,"Chemistry,Physics"
321,C6260449,2,Wavelength,139465,Physics,"Materials science,Physics"
322,C192209626,2,Focus (optics),138209,Physics,Physics
323,C3079626,1,Quantum electrodynamics,135129,Physics,Physics
324,C69990965,2,Electrical resistivity and conductivity,134326,Physics,"Engineering,Physics"
325,C2779662365,2,Event (particle physics),131022,Physics,Physics
326,C181500209,2,Excited state,129029,Physics,Physics
327,C152568617,2,Neutron,125895,Physics,Physics
328,C8058405,1,Geophysics,125888,Physics,"Geology,Physics"
329,C83581075,2,Excitation,121078,Physics,"Engineering,Physics"
330,C62611344,2,Node (physics),119997,Physics,"Engineering,Physics"
331,C159317903,2,Photon,117725,Physics,Physics
332,C44838205,2,Microwave,117621,Physics,"Computer science,Engineering,Physics"
333,C85725439,2,Anisotropy,117600,Physics,Physics
334,C148869448,2,Luminescence,117402,Physics,"Chemistry,Materials science,Physics"
335,C177562468,2,Dispersion (optics),116984,Physics,Physics
336,C207114421,2,Diffraction,115744,Physics,Physics
337,C147080431,2,Microscopy,115460,Physics,"Medicine,Physics"
338,C39920418,2,Kinematics,115326,Physics,Physics
339,C54101563,2,Superconductivity,114969,Physics,Physics
340,C131540310,2,Conductivity,114313,Physics,"Chemistry,Physics"
341,C49110097,2,Cathode,112086,Physics,"Chemistry,Engineering"
342,C79794668,2,Heterojunction,111107,Physics,"Materials science,Physics"
343,C182748727,3,Reynolds number,109559,Physics,"Geography,Physics"
344,C51244244,2,Planet,108098,Physics,Physics
345,C188082385,2,Charge (physics),107923,Physics,Physics
346,C120882062,3,Permeability (electromagnetism),106699,Physics,"Biology,Chemistry"
347,C20788544,2,Photonics,103449,Physics,"Materials science,Physics"
348,C16389437,2,Magnet,103095,Physics,"Engineering,Physics"
349,C207821765,2,Instability,101085,Physics,"Engineering,Mathematics,Physics"
350,C168167062,2,Component (thermodynamics),100998,Physics,Physics
351,C144171764,2,Torque,99977,Physics,"Engineering,Mathematics,Physics"
352,C180205008,2,Amplitude,98318,Physics,Physics
353,C161067210,2,Wind speed,97790,Physics,"Geography,Geology,Physics"
354,C7040849,4,Dielectric spectroscopy,96785,Physics,"Chemistry,Physics"
355,C187530423,2,Particle size,96650,Physics,"Biology,Chemistry,Engineering,Geology"
356,C135889238,2,Kinetic energy,96204,Physics,Physics
357,C119947313,2,Jet (fluid),96171,Physics,"Engineering,Physics"
358,C10899652,2,Convection,95807,Physics,"Geography,Physics"
359,C13393347,2,Aerodynamics,95067,Physics,"Engineering,Physics"
360,C13662910,2,Trajectory,93413,Physics,"Engineering,Mathematics,Physics"
361,C180016635,2,Compression (physics),91274,Physics,"Materials science,Physics"
362,C127934551,2,Harmonic,91091,Physics,Physics
363,C127172972,2,Viscosity,90458,Physics,"Materials science,Physics"
364,C106301342,2,Entropy (arrow of time),90280,Physics,Physics
365,C196644772,2,Orbit (dynamics),88970,Physics,"Engineering,Mathematics"
366,C124017977,2,Gravitation,87626,Physics,Physics
367,C30066665,3,Capacitance,87133,Physics,"Chemistry,Physics"
368,C87668248,2,Large Hadron Collider,86507,Physics,Physics
369,C119824511,2,Absorption spectroscopy,84579,Physics,"Chemistry,Physics"
370,C86025842,2,Electronic structure,84253,Physics,"Chemistry,Physics"
371,C24169881,2,Phonon,83927,Physics,Physics
372,C85906118,3,Phase diagram,83331,Physics,"Chemistry,Physics"
373,C61048295,2,Nucleation,83187,Physics,"Chemistry,Physics"
374,C96141758,3,Emission spectrum,82721,Physics,Physics
375,C2781195486,3,Texture (cosmology),82547,Physics,"Computer science,Mathematics"
376,C2781442258,2,Ab initio,81545,Physics,"Chemistry,Physics"
377,C93038891,2,Intensity (physics),79919,Physics,Physics
378,C190470478,2,Invariant (physics),78373,Physics,"Mathematics,Physics"
379,C138777275,2,Mixing (physics),78124,Physics,"Engineering,Mathematics,Physics"
380,C54516573,2,Proton,78116,Physics,Physics
381,C2780824857,2,Solar cell,77654,Physics,"Engineering,Materials science,Physics"
382,C158525013,2,Fusion,76394,Physics,Philosophy
383,C6556556,2,Contact angle,76021,Physics,"Engineering,Materials science,Physics"
384,C202374169,2,Electrical conductor,75655,Physics,"Engineering,Materials science,Physics"
385,C42067758,2,Refractive index,75546,Physics,"Materials science,Physics"
386,C111603439,2,Boundary layer,74588,Physics,"Engineering,Physics"
387,C11111821,2,Circulation (fluid dynamics),72685,Physics,"Engineering,Physics"
388,C140820882,2,Vortex,71457,Physics,"Geography,Physics"
389,C155355069,2,Antiferromagnetism,71289,Physics,Physics
390,C74064498,2,Radio frequency,70715,Physics,"Computer science,Engineering"
391,C33024259,3,Redshift,69982,Physics,Physics
392,C84999194,2,Universe,69516,Physics,Physics
393,C17829176,2,Electrical impedance,69446,Physics,"Engineering,Physics"
394,C79090758,3,Ferroelectricity,69175,Physics,"Engineering,Materials science,Physics"
395,C28843909,2,Electromagnetic field,68845,Physics,Physics
396,C142757262,2,Doppler effect,68199,Physics,Physics
397,C169573571,3,Raman scattering,67837,Physics,"Chemistry,Physics"
398,C124657808,2,Quantum dot,67482,Physics,"Materials science,Physics"
399,C67649825,2,Microscope,66469,Physics,"Medicine,Physics"
400,C68271606,3,Photometry (optics),65217,Physics,"Computer science,Physics"
401,C19694890,2,Hadron,64837,Physics,Physics
402,C204723758,2,Acoustic wave,64737,Physics,Physics
403,C101454708,3,Standard Model (mathematical formulation),64249,Physics,"Geography,History,Materials science"
404,C84174578,2,Surface wave,63598,Physics,"Computer science,Engineering,Physics"
405,C159188206,3,Heat flux,63490,Physics,Physics
406,C68115822,2,Sound pressure,63439,Physics,"Computer science,Engineering,Physics"
407,C54553102,2,Magnetic moment,63122,Physics,Physics
408,C100082104,2,Piezoelectricity,63000,Physics,"Engineering,Materials science,Physics"
