id,level,display_name,llm_annotation
C54355233,1,Genetics,Biology
C545542383,1,Medical emergency,Medicine
C54750564,1,Commerce,Business
C548081761,1,Waste management,Environmental science
C548259974,1,Audiology,Medicine
C549774020,1,Welfare economics,Economics
C55493867,1,Biochemistry,Biology
C55587333,1,Engineering ethics,Engineering
C556039675,1,Traditional medicine,Medicine
C556758197,1,Monetary economics,Economics
C56739046,1,Knowledge management,Business
C57879066,1,Mechanics,Physics
C58640448,1,Cartography,Geography
C5900021,1,Petrology,Geology
C59822182,1,Botany,Biology
C60644358,1,Bioinformatics,Computer science
C61434518,1,General surgery,Medicine
C61696701,1,Engineering physics,Engineering
C62520636,1,Quantum mechanics,Physics
C62649853,1,Remote sensing,Geography
C6303427,1,Economic history,History
C6557445,1,Agronomy,Biology
C66938386,1,Structural engineering,Engineering
C70410870,1,Clinical psychology,Psychology
C70721500,1,Computational biology,Computer science
C71240020,1,Stereochemistry,Chemistry
C71924100,0,Medicine,Medicine
C73283319,1,Financial system,Economics
C73484699,1,Criminology,Sociology
C74363100,1,Economic system,Economics
C74650414,1,Classical mechanics,Physics
C74909509,1,Gerontology,Medicine
C74916050,1,Classics,History
C75473681,1,Photochemistry,Chemistry
C75630572,1,Applied psychology,Psychology
C76155785,1,Telecommunications,Engineering
C77088390,1,Database,Computer science
C77595967,1,Forensic engineering,Engineering
C77805123,1,Social psychology,Psychology
C78458016,1,Evolutionary biology,Biology
C78519656,1,Mechanical engineering,Engineering
C78762247,1,Petroleum engineering,Engineering
C79403827,1,Real-time computing,Computer science
C8010536,1,Crystallography,Physics
C80444323,1,Theoretical computer science,Computer science
C8058405,1,Geophysics,Physics
C86803240,0,Biology,Biology
C87355193,1,Astrobiology,Biology
C87717796,1,Environmental engineering,Engineering
C88463610,1,Agricultural engineering,Engineering
C89423630,1,Microbiology,Biology
C90856448,1,Zoology,Biology
C90924648,1,Gastroenterology,Medicine
C91375879,1,Environmental planning,Environmental science
C91586092,1,Atmospheric sciences,Environmental science
C9390403,1,Computer hardware,Computer science
C94375191,1,Arithmetic,Mathematics
C95124753,1,Environmental ethics,Philosophy
C95444343,1,Cell biology,Biology
C95457728,0,History,History
C97137747,1,Forestry,Environmental science
C97355855,1,Thermodynamics,Physics
C98274493,1,Pharmacology,Medicine
C99454951,1,Environmental health,Environmental science
C99508421,1,Physical medicine and rehabilitation,Medicine
